"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"Q1";"2N7002K-T1-E3";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q3";"2N7002K-T1-E3";"MOSFET-NREFLOW";"SOT23";"N-Channel Mosfet";"";"";"";"";"";"";"";"";
"Q9";"SI2301CDS";"SI2301CDS";"SOT23";"";"";"";"";"";"";"";"";"";
"R1";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R2";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R3";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R4";"2K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R5";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R6";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R7";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R8";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R9";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R10";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R11";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R12";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R13";"30K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R14";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R15";"84.5K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R16";"22";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R17";"22";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R18";"22";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R19";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R20";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R21";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R22";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R23";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R26";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R27";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R28";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R42";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R43";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R44";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R45";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R46";"4.7K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R47";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"R49";"10K";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";"";"";
"S1";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"SWITCH-MOMENTARY-2SMD-REDUNDANT";"TACTILE-SWITCH-SMD";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"SWCH-08247";"";"";
"SIMCONN";"SIMHOLDER3";"SIMHOLDER3";"SIMHOLDER3";"Alternate SIM card socket";"";"";"";"";"";"";"";"";
"SJ1";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";"";"";"";"";
"SJ2";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";"";"";"";"";
"SJ3";"SOLDERJUMPERTRACE";"SOLDERJUMPERTRACE";"SJ_2S-TRACE";"Solder Jumper";"";"";"";"";"";"";"";"";
"T1";"BC847";"BC847";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";
"T2";"BC847";"BC847";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";
"U$1";"LT1935ES5";"LT1935ES5";"SOT23-5";"";"";"";"";"";"";"";"";"";
"U$2";"LT1935ES5";"LT1935ES5";"SOT23-5";"";"";"";"";"";"";"";"";"";
"U1";"MIC5219 3.3V";"V_REG_MIC52193.3V";"SOT23-5";"V_REG MIC5219";"";"";"";"";"";"VREG-09872";"";"MIC5219 3.3V";
"XB1";"XBEE-PRO";"XBEE-PRO";"XBEE-PRO";"XBee (TM) /XBee-PRO(TM) OEM RF Modules";"";"XBP24-AWI-001";"1337916";"42M2667";"";"";"";"";
